Date,Avg Temp (C),Max Temp (C),Min Temp (C),Max Wind,Min Barom,Precip,Month,Day,day#
01/01/89,-4.61,1.72,-9.22,6.44,1019,0,1,1,0
01/02/89,-0.11,2.39,-2.39,11.97,1007,0.01,1,2,1
01/03/89,-3.28,-0.11,-10.6,14.43,1002,0.01,1,3,2
01/04/89,-16.2,-10.7,-19.9,15.79,1002,0,1,4,3
01/05/89,-15.6,-8.89,-19.5,14.7,1015,0,1,5,4
01/06/89,-10,-4.78,-17.2,7.75,1022,0,1,6,5
01/07/89,-2.78,0.17,-6.06,11.72,1023,0,1,7,6
01/08/89,3.61,7.83,-0.94,19,1008,0.03,1,8,7
01/09/89,-4.06,-0.89,-8.33,13.98,1015,0,1,9,8
01/10/89,-5.78,-0.5,-11.2,10.96,1025,0,1,10,9
01/11/89,-3.83,1.61,-10.7,19.55,1025,0,1,11,10
01/12/89,-0.61,7.28,-10.6,15.57,1009,0.33,1,12,11
01/13/89,-1.78,6.89,-7.72,23.55,1010,0,1,13,12
01/14/89,-1.89,6.28,-9.17,8.62,1019,0.08,1,14,13
01/15/89,2.56,6.17,0.06,14.6,1012,0.27,1,15,14
01/16/89,-1.33,0.72,-3,21.13,1014,0.05,1,16,15
01/17/89,-0.83,3.33,-4.67,19.52,1011,0,1,17,16
01/18/89,0.44,2.5,-4.11,9.61,1011,0.04,1,18,17
01/19/89,1.67,4.5,-2.67,13.5,1009,0.02,1,19,18
01/20/89,-0.56,4.89,-9.28,18.39,1001,0.19,1,20,19
01/21/89,-14,-9.39,-18.7,19.1,1008,0,1,21,20
01/22/89,-7.17,3.28,-16.4,4.55,1023,0,1,22,21
01/23/89,-1.67,9.28,-8.67,3.48,1020,0,1,23,22
01/24/89,0.83,11.4,-5.67,7.27,1018,0,1,24,23
01/25/89,-4.83,-0.78,-8.72,12.24,1023,0,1,25,24
01/26/89,0.11,5,-6.28,14.63,1007,0.35,1,26,25
01/27/89,-0.61,0.78,-2.94,16.73,1006,0.03,1,27,26
01/28/89,-1.61,5.56,-10,13.04,1013,0,1,28,27
01/29/89,3.39,8.56,-1.06,18.77,1012,0.01,1,29,28
01/30/89,3.39,7.67,0.22,23.12,1000,0.04,1,30,29
01/31/89,3.33,6.22,0.11,15.02,1004,0,1,31,30
02/01/89,8.33,17.6,2.06,19.95,1004,0,2,1,31
